Organization short name,Organization long name,Country,Partner,Type
NTT-AT Corp.,NTT Advanced Technology Corporation,JAPAN,TTC,INDIVIDUAL MEMBERS
NTU,National Taiwan University,TAIWAN  PROVINCE OF CHINA,ETSI,INDIVIDUAL MEMBERS
Nubia Technology Co. Ltd,Nubia Technology Co. Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
NUFRONT,Nufront (Beijing) Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
NVIDIA,NVIDIA Corporation,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
NXP Semiconductors Netherlands,NXP Semiconductors Netherlands B.V.,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
NYCU,National Yang Ming Chiao Tung University,TAIWAN  PROVINCE OF CHINA,ETSI,INDIVIDUAL MEMBERS
Obvios,Obvios,FRANCE,ETSI,INDIVIDUAL MEMBERS
Odido,Odido Netherlands B.V.,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
Ofcom (CH),Ofcom (CH),SWITZERLAND,ETSI,INDIVIDUAL MEMBERS
Ofcom (U.K.),Ofcom - Office of Communications (U.K.),UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Oki Electric Industry Co. Ltd.,OKi Electric Industry Co.  Ltd,JAPAN,TTC,INDIVIDUAL MEMBERS
Omnispace,Omnispace,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
ONE Media 3.0 LLC,ONE Media 3.0 LLC,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
one2many B.V.,one2many B.V.,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
OnePlus,OnePlus (Shenzhen) Technology Co.  LTD,CHINA,CCSA,INDIVIDUAL MEMBERS
OPPO,Guangdong OPPO Mobile Telecommunications Corp. Ltd.,CHINA,ETSI,INDIVIDUAL MEMBERS
OPPO (chongqing) Intelligence,OPPO (chongqing) Intelligence Technology Limited,CHINA,CCSA,INDIVIDUAL MEMBERS
OPPO Beijing,Beijing OPPO Telecommunications Corp.  ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
OptM Media,OptM Media Solutions Private Limited,INDIA,TSDSI,INDIVIDUAL MEMBERS
OQTEC,OQ TECHNOLOGY,LUXEMBOURG,ETSI,INDIVIDUAL MEMBERS
Oracle Corporation,Oracle Corporation,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Orange,Orange,FRANCE,ETSI,INDIVIDUAL MEMBERS
Orange Romania,Orange Romania,ROMANIA,ETSI,INDIVIDUAL MEMBERS
Orange Spain,France Telecom España S.A.U.,SPAIN,ETSI,INDIVIDUAL MEMBERS
Orange UK,Orange Brand Services Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
ORS,Österreichische Rundfunksender GmbH & Co KG,AUSTRIA,ETSI,INDIVIDUAL MEMBERS
OTD_US,OTD_US,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
OTE S.A,OTE S.A,GREECE,ETSI,INDIVIDUAL MEMBERS
P.I. WORKS,P.I. WORKS TR BILISIM HIZMETLERI A.S.,TÜRKIYE,ETSI,INDIVIDUAL MEMBERS
Pairpoint,DABCO Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Panasonic Holdings Corporation,Panasonic Holdings Corporation,JAPAN,ARIB,INDIVIDUAL MEMBERS
PANASONIC R&D Center Germany,PANASONIC R&D Center Germany GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
PCCW Global B.V.,PCCW Global B.V.,FRANCE,ETSI,INDIVIDUAL MEMBERS
PCI,Philips (China) Investment Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Peking University,Peking University,CHINA,CCSA,INDIVIDUAL MEMBERS
Pengcheng laboratory,Pengcheng laboratory,CHINA,CCSA,INDIVIDUAL MEMBERS
Peraton Labs,Peraton Labs,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Philips International B.V.,Philips International B.V.,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
PHY Wireless,PHY Wireless,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
PIDS,PIDS,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
PKUSZ,Peking university shenzhen graduate school,CHINA,CCSA,INDIVIDUAL MEMBERS
Plan-S,Plan S Uydu ve Uzay Teknolojileri A.S,TÜRKIYE,ETSI,INDIVIDUAL MEMBERS
PML,Purple Mountain Laboratories: Networking  Communications and Security,CHINA,CCSA,INDIVIDUAL MEMBERS
Polaris Wireless,Polaris Wireless,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Polisen,Polismyndigheten,SWEDEN,ETSI,INDIVIDUAL MEMBERS
POST Luxembourg,POST Luxembourg,LUXEMBOURG,ETSI,INDIVIDUAL MEMBERS
Prasar Bharati,Prasar Bharati,INDIA,TSDSI,INDIVIDUAL MEMBERS
Proximus Plc,Proximus Plc,BELGIUM,ETSI,INDIVIDUAL MEMBERS
PSCE,Public Safety Communication Europe Forum,BELGIUM,ETSI,INDIVIDUAL MEMBERS
PT PORTUGAL SGPS SA,PT Portugal SGPS SA,PORTUGAL,ETSI,INDIVIDUAL MEMBERS
PTS,Swedish Post and Telecom Authority,SWEDEN,ETSI,INDIVIDUAL MEMBERS
Public Safety Canada,Public Safety Canada,CANADA,ETSI,INDIVIDUAL MEMBERS
Qihoo 360,Qihoo 360 Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Qorvo,Qorvo,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Qualcomm Atheros  Inc.,Qualcomm Atheros  Inc.,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
QUALCOMM Europe Inc. - Italy,QUALCOMM Europe Inc. - Italy Branch Office,ITALY,ETSI,INDIVIDUAL MEMBERS
QUALCOMM Europe Inc. - Spain,QUALCOMM Europe Inc. - Spain Branch Office,SPAIN,ETSI,INDIVIDUAL MEMBERS
Qualcomm France,Qualcomm France SARL,FRANCE,ETSI,INDIVIDUAL MEMBERS
Qualcomm Germany,Qualcomm Germany GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Qualcomm Incorporated,Qualcomm Incorporated,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Qualcomm India Pvt Ltd,Qualcomm India Pvt Ltd,INDIA,TSDSI,INDIVIDUAL MEMBERS
Qualcomm Innovation Center Inc,Qualcomm Innovation Center  Inc.,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
QUALCOMM JAPAN LLC.,QUALCOMM JAPAN LLC.,JAPAN,ARIB,INDIVIDUAL MEMBERS
Qualcomm Korea,Qualcomm Korea,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Qualcomm Tech. Netherlands B.V,Qualcomm Technologies Netherlands B.V.,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
Qualcomm Technologies,Qualcomm Technologies,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Qualcomm Technologies Int,Qualcomm Technologies International  Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Qualcomm Technologies Ireland,QT Technologies Ireland Limited,IRELAND,ETSI,INDIVIDUAL MEMBERS
Quanray,Shanghai Quanray Electronics Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Quectel,Quectel Wireless Solutions Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
QWCT,QUALCOMM Wireless Communication Technologies (China) Limited,CHINA,CCSA,INDIVIDUAL MEMBERS
RadiSys,RadiSys Inc.,CANADA,ETSI,INDIVIDUAL MEMBERS
Rakuten Mobile  Inc,Rakuten Mobile  Inc,JAPAN,ARIB,INDIVIDUAL MEMBERS
RATEL,Regulatory Authority For Electronic Communications and Postal Services,SERBIA,ETSI,INDIVIDUAL MEMBERS
Realme (Shenzhen),Realme Mobile Telecommunications (Shenzhen) Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Reflection B.V.,Reflection Investment B.V.,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
Reliance Jio,Reliance Jio,INDIA,TSDSI,INDIVIDUAL MEMBERS
RICHTEK KOREA,RICHTEK KOREA,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
RISE,RISE Research Institutes of Sweden,SWEDEN,ETSI,INDIVIDUAL MEMBERS
ROBERT BOSCH GmbH,ROBERT BOSCH GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Rogers Communications Canada,Rogers Communications Canada Inc.,CANADA,ETSI,INDIVIDUAL MEMBERS
ROHDE & SCHWARZ,ROHDE & SCHWARZ GmbH & Co.KG,GERMANY,ETSI,INDIVIDUAL MEMBERS
Ruijie Network Co. Ltd,Ruijie Network Co. Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
SageRAN,Guangdong Sageran Technology Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
SAICT,Shenzhen Academy of Information and Communication Technology,CHINA,CCSA,INDIVIDUAL MEMBERS
Samsung Electronics Co.  Ltd,Samsung Electronics Co.  Ltd.,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Samsung Electronics Czech,Samsung Electronics Czech,CZECH REPUBLIC,ETSI,INDIVIDUAL MEMBERS
Samsung Electronics France SA,Samsung Electronics France SA,FRANCE,ETSI,INDIVIDUAL MEMBERS
Samsung Electronics GmbH,Samsung Electronics GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Samsung Electronics Iberia SA,Samsung Electronics Iberia SA,SPAIN,ETSI,INDIVIDUAL MEMBERS
Samsung Electronics Nordic AB,Samsung Electronics Nordic AB,SWEDEN,ETSI,INDIVIDUAL MEMBERS
Samsung Electronics Polska,Samsung Electronics Polska,POLAND,ETSI,INDIVIDUAL MEMBERS
Samsung Guangzhou Mobile R&D,Samsung Guangzhou Mobile R&D Center,CHINA,CCSA,INDIVIDUAL MEMBERS
Samsung Nanjing,Samsung Electronic (China) R&D Center,CHINA,CCSA,INDIVIDUAL MEMBERS
Samsung R&D Institute India,Samsung R&D Institute India - Bangalore Pvt. Ltd,INDIA,TSDSI,INDIVIDUAL MEMBERS
SAMSUNG R&D INSTITUTE JAPAN,SAMSUNG R&D INSTITUTE JAPAN,JAPAN,ARIB,INDIVIDUAL MEMBERS
Samsung R&D Institute UK,Samsung R&D Institute UK,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Samsung Research America,Samsung Research America,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Samsung Shenzhen,Samsung Network R&D Center-Shenzhen,CHINA,CCSA,INDIVIDUAL MEMBERS
Sanechips,Sanechips Technology Co.   Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Sateliot,Satelio IoT Services,SPAIN,ETSI,INDIVIDUAL MEMBERS
Schindler,Schindler Elevator Ltd,SWITZERLAND,ETSI,INDIVIDUAL MEMBERS
SDI Squared,SDI Squared LLC,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Sectra Communications AB,Sectra Communications AB,SWEDEN,ETSI,INDIVIDUAL MEMBERS
Security Service,Swedish Security Service,SWEDEN,ETSI,INDIVIDUAL MEMBERS
Semtech Neuchatel SA,Semtech Neuchatel SA,SWITZERLAND,ETSI,INDIVIDUAL MEMBERS
Sennheiser electronic SE,Sennheiser electronic SE & Co. KG,GERMANY,ETSI,INDIVIDUAL MEMBERS
Sensus UK,Sensus UK Systems Limited,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Sepura Ltd,Sepura Limited,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Sequans Communications,Sequans Communications,FRANCE,ETSI,INDIVIDUAL MEMBERS
SES S.A.,SES S.A.,LUXEMBOURG,ETSI,INDIVIDUAL MEMBERS
SETS,Society for Electronic Transactions and Security,INDIA,TSDSI,INDIVIDUAL MEMBERS
SEU,Southeast University,CHINA,CCSA,INDIVIDUAL MEMBERS
SGDSN,Secrétariat Général de la Défense et de la Sécurité Nationale (SGDSN),FRANCE,ETSI,INDIVIDUAL MEMBERS
SGITG,State Grid Information & Telecommunication Group Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
SGS Wireless,SGS Wireless,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Shanghai Chen Si Electronics,Shanghai Chen Si Electronics Technology Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
Shanghai Jiao Tong University,Shanghai Jiao Tong University,CHINA,CCSA,INDIVIDUAL MEMBERS
Shanghai Tejet Com Technology,Shanghai Tejet Communications Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
SHARP Corporation,SHARP Corporation,JAPAN,ARIB,INDIVIDUAL MEMBERS
Shenzhen Heytap,Shenzhen Heytap Technology Corp. Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
ShenZhen Zhongxing Shitong,ShenZhen Zhongxing Shitong Tech. Co. Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
SIA,Shenyang Institute of Automation  Chinese Academy of Sciences,CHINA,CCSA,INDIVIDUAL MEMBERS
Siemens AG,Siemens AG,GERMANY,ETSI,INDIVIDUAL MEMBERS
Signalchip Innovations Pvt.,Signalchip Innovations Pvt. Ltd.,INDIA,TSDSI,INDIVIDUAL MEMBERS
SIST,Slovenian Institute for Standardisation,SLOVENIA,ETSI,INDIVIDUAL MEMBERS
Sisvel,Sisvel International S.A.,LUXEMBOURG,ETSI,INDIVIDUAL MEMBERS
SK Telecom,SK TELECOM,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
SKY Perfect JSAT Corporation,SKY Perfect JSAT Corporation,JAPAN,ARIB,INDIVIDUAL MEMBERS
Skylo Technologies,Skylo Technologies,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Skyworks Solutions Inc.,Skyworks Solutions Inc.,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Smart Internet Lab,Smart Internet Lab  University of Bristol,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
SmarterMicro Inc.,Smarter Microelectronics(Guangzhou) Co. Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
SnT - University of Luxembourg,Interdisciplinary Centre for Security  Reliability and Trust/University of Luxembourg,LUXEMBOURG,ETSI,INDIVIDUAL MEMBERS
SoftBank Corp.,SoftBank Corp.,JAPAN,ARIB,INDIVIDUAL MEMBERS
Softel Systems,Softel Systems Pty Ltd,AUSTRALIA,ETSI,INDIVIDUAL MEMBERS
Softil Ltd,Softil Ltd,ISRAEL,ETSI,INDIVIDUAL MEMBERS
Sony Corporation,Sony Corporation,JAPAN,ARIB,INDIVIDUAL MEMBERS
Sony Europe B.V.,Sony Europe B.V.,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Sony Group Corporation,Sony Group Corporation,JAPAN,ARIB,INDIVIDUAL MEMBERS
Sooktha Consulting Pvt Ltd,Sooktha Consulting Pvt Ltd,INDIA,TSDSI,INDIVIDUAL MEMBERS
Soongsil University,Soongsil University,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
SOS Alarm,SOS Alarm Sverige AB,SWEDEN,ETSI,INDIVIDUAL MEMBERS
Southern Linc.,Southern Linc.,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Southwest Jiaotong university,Southwest Jiaotong university,CHINA,CCSA,INDIVIDUAL MEMBERS
SpaceX,SpaceX Netherlands B.V,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
Spark NZ Ltd,Spark NZ Ltd,NEW ZEALAND,ATIS,INDIVIDUAL MEMBERS
Spirent Communications,Spirent Communications,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Sporton International Inc,Sporton International Inc.,TAIWAN  PROVINCE OF CHINA,ETSI,INDIVIDUAL MEMBERS
Spreadtrum Communications,Spreadtrum Communications (Shanghai) Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
SRTC,The State Radio_monitoring_center Testing Center,CHINA,CCSA,INDIVIDUAL MEMBERS
SS8,SS8 Networks Inc.,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
SSNS,Special Service for the National Security of Hungary,HUNGARY,ETSI,INDIVIDUAL MEMBERS
Starpoint,Beijing Starpoint Technology Company Limited,CHINA,CCSA,INDIVIDUAL MEMBERS
STE IDIRECT IRELAND LTD,ST ENGINEERING IDIRECT (IRELAND) LIMITED,IRELAND,ETSI,INDIVIDUAL MEMBERS
STMicroelectronics,STMicroelectronics International NV,SWITZERLAND,ETSI,INDIVIDUAL MEMBERS
Sumitomo Elec. Industries  Ltd,Sumitomo Electric Industries  Ltd.,JAPAN,ARIB,INDIVIDUAL MEMBERS
SUNGKYUNKWAN UNIVERSITY,SUNGKYUNKWAN UNIVERSITY,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
SUTD,Singapore University of Technology and Design,SINGAPORE,ETSI,INDIVIDUAL MEMBERS
Swift Navigation,Swift Navigation,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
SWISSCOM,SWISSCOM SA,SWITZERLAND,ETSI,INDIVIDUAL MEMBERS
SWR,Südwestrundfunk,GERMANY,ETSI,INDIVIDUAL MEMBERS
SyncTechno Inc.,SyncTechno  Inc.,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Syniverse,M/s Syniverse Technologies Services India Pvt. Ltd.,INDIA,TSDSI,INDIVIDUAL MEMBERS
TA,Tantra Analyst,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Tait Europe Limited,Tait Europe Limited,AUSTRIA,ETSI,INDIVIDUAL MEMBERS
TATA Communications Ltd,TATA Communications Ltd,INDIA,TSDSI,INDIVIDUAL MEMBERS
Tata Elxsi Limited.,Tata Elxsi Limited.,INDIA,TSDSI,INDIVIDUAL MEMBERS
TCL,Shenzhen TCL New Technology Company Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
TCS,TATA Consultancy Services,INDIA,TSDSI,INDIVIDUAL MEMBERS
TD Tech Ltd,TD Tech Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
TDF,TDF SAS,FRANCE,ETSI,INDIVIDUAL MEMBERS
Tech Mahindra Limited,Tech Mahindra Limited,INDIA,TSDSI,INDIVIDUAL MEMBERS
Tejas Network Limited,Tejas Network Limited,INDIA,TSDSI,INDIVIDUAL MEMBERS
Tektronix GmbH,Tektronix GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
TELECOM ITALIA S.p.A.,Telecom Italia S.p.A.,ITALY,ETSI,INDIVIDUAL MEMBERS
Telefonica Germany GmbH,Telefónica Germany GmbH & Co OHG,GERMANY,ETSI,INDIVIDUAL MEMBERS
TELEFONICA S.A.,TELEFONICA S.A.,SPAIN,ETSI,INDIVIDUAL MEMBERS
Telekom Deutschland GmbH,Telekom Deutschland GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
TELENOR ASA,Telenor ASA,NORWAY,ETSI,INDIVIDUAL MEMBERS
Telesat International Limited,Telesat International Limited,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Telia Company AB,Telia Company AB,SWEDEN,ETSI,INDIVIDUAL MEMBERS
Telit Communications S.p.A.,Telit Communications S.p.A.,ITALY,ETSI,INDIVIDUAL MEMBERS
Telstra Limited,Telstra Limited,AUSTRALIA,ETSI,INDIVIDUAL MEMBERS
TELUS,TELUS,CANADA,ATIS,INDIVIDUAL MEMBERS
Tencent,Shenzhen city Tencent computer system Co. Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Tencent Cloud,Tencent cloud computing Beijing Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
Teradyne,Teradyne,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
TerreStar Solutions Inc.,TerreStar Solutions Inc.,CANADA,ATIS,INDIVIDUAL MEMBERS
Texas A&M University,Texas A&M University,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
TEXAS Instruments,Texas Instruments France,FRANCE,ETSI,INDIVIDUAL MEMBERS
THALES,THALES,FRANCE,ETSI,INDIVIDUAL MEMBERS
THURAYA TELECOM CO.,THURAYA TELECOMMUNICATIONS COMPANY,UNITED ARAB EMIRATES,ETSI,INDIVIDUAL MEMBERS
Tiami Networks,Tiami Networks,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
TII,Technology Innovation Institute,UNITED ARAB EMIRATES,ETSI,INDIVIDUAL MEMBERS
T-Mobile Austria GmbH,T-Mobile AUSTRIA GmbH,AUSTRIA,ETSI,INDIVIDUAL MEMBERS
T-Mobile Polska S.A.,T-Mobile Polska Spolka Akcyjna,POLAND,ETSI,INDIVIDUAL MEMBERS
T-Mobile USA,T-Mobile USA  Inc.,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
T-Mobile USA Inc.,T-Mobile USA Inc.,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
TNO,TNO,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
Tomorrow's Creation Labs,Tomorrow's Creation Labs,JAPAN,ARIB,INDIVIDUAL MEMBERS
Tongji University,Tongji University,CHINA,CCSA,INDIVIDUAL MEMBERS
Toshiba,Toshiba,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
TOWE Wireless,Sushi TOWE Wireless Testing (Shenzhen) Co. Ltd.,CHINA,ETSI,INDIVIDUAL MEMBERS
TOYOTA Info Technology Center,TOYOTA Info Technology Center USA  Inc.,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
TOYOTA MOTOR CORPORATION,TOYOTA MOTOR CORPORATION,JAPAN,TTC,INDIVIDUAL MEMBERS
TRAFICOM,The Finnish Transport and Communications Agency,FINLAND,ETSI,INDIVIDUAL MEMBERS
Trafikverket,Trafikverket,SWEDEN,ETSI,INDIVIDUAL MEMBERS
Transsion Holdings,Transsion Holdings,CHINA,CCSA,INDIVIDUAL MEMBERS
TransUnion,TransUnion,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Trimble,Trimble,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Tron Future Tech Inc.,Tron Future Tech Inc.,TAIWAN  PROVINCE OF CHINA,ETSI,INDIVIDUAL MEMBERS
TTP plc,TTP plc,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Turk Telekomunikasyon A.S.,Turk Telekomunikasyon A.S.,TÜRKIYE,ETSI,INDIVIDUAL MEMBERS
TURKCELL,Turkcell Iletisim Hizmetleri A.S.,TÜRKIYE,ETSI,INDIVIDUAL MEMBERS
U.S. Department of Defense,U.S. Department of Defense,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
U.S. Department of Transport.,U.S. Department of Transportation,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
U.S. National Security Agency,US National Security Agency,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Uangel,Uangel Corporation,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Ubiik,Ubiik SAS,FRANCE,ETSI,INDIVIDUAL MEMBERS
ubinexus,Beijing Ubinexus Technology Development Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
u-blox AG,u-blox AG,SWITZERLAND,ETSI,INDIVIDUAL MEMBERS
UESTC,University of Electronic Science and Technology of China,CHINA,CCSA,INDIVIDUAL MEMBERS
UL VS Ltd,UL VS Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
UMA,Universidad de Malaga,SPAIN,ETSI,INDIVIDUAL MEMBERS
umlaut,umlaut communications GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
UNIBO,ALMA MATER STUDIORUM Università di Bologna,ITALY,ETSI,INDIVIDUAL MEMBERS
UniBw M,University of the Bundeswehr Munich,GERMANY,ETSI,INDIVIDUAL MEMBERS
Unicom Broadband Online,Unicom Broadband Online Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Unicompay,Unicompay Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Union Inter. Chemins de Fer,Union Internationale des Chemins de Fer,FRANCE,ETSI,INDIVIDUAL MEMBERS
Union Telephone Company,Union Telephone Company,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Unisoc,Unisoc (Shanghai) Technologies Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Unisoc Beijing,Beijing Unisoc Communications Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
UPV/EHU,Universidad del País Vasco/Euskal Herriko Unibertsitatea,SPAIN,ETSI,INDIVIDUAL MEMBERS
US Cellular Corporation.,US Cellular Corporation/TDS.,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
US DHS Science & Technology,US DHS Science & Technology,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
UTIMACO TS GmbH,UTIMACO TS GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
UTokyo,The University of Tokyo,JAPAN,ETSI,INDIVIDUAL MEMBERS
Vaan Megam,Vaan Megam Networks,INDIA,TSDSI,INDIVIDUAL MEMBERS
Valeo,Valeo Telematik und Akustik GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
VALID SOLUCIONES TECNOLÓGICAS,VALID SOLUCIONES TECNOLÓGICAS S.A.U,SPAIN,ETSI,INDIVIDUAL MEMBERS
Valid8,Valid8.com  Inc.,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Vanchip,Vanchip (Tianjin) Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Verizon Denmark,Verizon Denmark A/S,DENMARK,ETSI,INDIVIDUAL MEMBERS
Verizon Finland,Verizon Finland Oy,FINLAND,ETSI,INDIVIDUAL MEMBERS
Verizon France,Verizon France SAS,FRANCE,ETSI,INDIVIDUAL MEMBERS
Verizon Netherlands,Verizon Nederland B.V,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
Verizon Spain,Verizon Spain S.L.,SPAIN,ETSI,INDIVIDUAL MEMBERS
Verizon Sweden,Verizon Sweden Aktiebolag  2116,SWEDEN,ETSI,INDIVIDUAL MEMBERS
Verizon Switzerland AG,Verizon Switzerland AG,SWITZERLAND,ETSI,INDIVIDUAL MEMBERS
Verizon UK Ltd,Verizon UK Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Vestel,Vestel Elektronik Sanayi ve Ticaret A.S,TÜRKIYE,ETSI,INDIVIDUAL MEMBERS
ViaSat Satellite Holdings Ltd,ViaSat Satellite Holdings Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
VIAVI Solutions,Viavi Solutions UK Ltd.,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
vivo Mobile Com. (Chongqing),vivo Mobile Communication (Chongqing) Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
vivo Mobile Communication (H),vivo Mobile Communication (Hangzhou) Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
vivo Mobile Communication (S),vivo Mobile Communication (Shenzhen) Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
vivo Mobile Communication Co. ,vivo Mobile Communication Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
vivo Software Technology,vivo Software Technology (Xi'an) Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
VIVO TECH GmbH,VIVO TECH GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
vivo Wisdom Technology,vivo Wisdom Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Vodafone GmbH,Vodafone GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
VODAFONE Group Plc,Vodafone Group Plc,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Vodafone Ireland Plc,Vodafone Ireland Plc,IRELAND,ETSI,INDIVIDUAL MEMBERS
